geoid,state,county,tract,block,lat,lng
421010387001029,42,101,038700,1029,40.07424537819624,-75.20249727902933
421010025002001,42,101,002500,2001,39.93513774831618,-75.14667878580366
421010205001006,42,101,020500,1006,40.014826385014125,-75.17115405896575
421010288002001,42,101,028800,2001,40.02296952629345,-75.12110217948144
421010275002006,42,101,027500,2006,40.037867467758126,-75.13044940651054
421010367002015,42,101,036700,2015,39.96238977071735,-75.1439056931968
421010367002015,42,101,036700,2015,39.96238977071735,-75.1439056931968
421010367002015,42,101,036700,2015,39.96238977071735,-75.1439056931968
421010367002015,42,101,036700,2015,39.96238977071735,-75.1439056931968
421010367002015,42,101,036700,2015,39.96238977071735,-75.1439056931968
421010215002010,42,101,021500,2010,40.03192549929026,-75.23207860760768
421010178004016,42,101,017800,4016,39.989046758821424,-75.12221174730023
421010314021002,42,101,031402,1002,40.043767457750086,-75.05642905691006
421010027022022,42,101,002702,2022,39.92989436668005,-75.14681469402586
421010027022022,42,101,002702,2022,39.92989436668005,-75.14681469402586
421010305024009,42,101,030502,4009,40.0412199006729,-75.10589288950952
421010091001003,42,101,009100,1003,39.96097220777149,-75.19744439933709
421019809012004,42,101,980901,2004,39.89412872037287,-75.22882157049432
421010038005004,42,101,003800,5004,39.92186936160141,-75.18732119991728
421010291002007,42,101,029100,2007,40.03387533554769,-75.10787422454892
421010285001010,42,101,028500,1010,40.02682527252093,-75.13392616136596
,,,,,39.916722202109845,-75.15913397180736
,,,,,40.063352146552866,-75.13972055573286
421010115003010,42,101,011500,3010,39.97484235916089,-75.25171226600027
421010039013009,42,101,003901,3009,39.92137067363285,-75.1748281615254
421010125012002,42,101,012501,2002,39.96205829468887,-75.16727515065259
,,,,,40.06238920878477,-74.9851563839539
,,,,,40.04010031870124,-75.1411769913947
421010367002015,42,101,036700,2015,39.96238977071735,-75.1439056931968
421019809012004,42,101,980901,2004,39.89412872037287,-75.22882157049432
421010365021002,42,101,036502,1002,40.1245195476191,-74.99368078257436
421010381001062,42,101,038100,1062,40.01299334096644,-75.0559732527626
,,,,,39.992183127218944,-75.1010049488109
421010091001003,42,101,009100,1003,39.96097220777149,-75.19744439933709
421010165001006,42,101,016500,1006,39.99009453290166,-75.14851108773811
421010110004011,42,101,011000,4011,39.97241240940509,-75.20056741272192
421010004042003,42,101,000404,2003,39.95380575093875,-75.1719465979244
421010373001020,42,101,037300,1020,39.909991074909016,-75.17534332171931
421010274021003,42,101,027402,1003,40.043174383970964,-75.1231866899977
421010055002004,42,101,005500,2004,39.910335807990016,-75.24612439322144
421010266002000,42,101,026600,2000,40.06361342957345,-75.14785016521358
421010084004003,42,101,008400,4003,39.959176791529714,-75.23579851056623
421010106001001,42,101,010600,1001,39.96752257018572,-75.21045146431406
421010290003006,42,101,029000,3006,40.030640815373346,-75.12028896639065
421010024004006,42,101,002400,4006,39.93531924025564,-75.15848624937583
421010390013005,42,101,039001,3005,40.0334305346408,-75.08914366495077
421010018002000,42,101,001800,2000,39.940803140194696,-75.16113887555757
421010176021009,42,101,017602,1009,39.99701055678638,-75.12930514623801
421010378002001,42,101,037800,2001,39.97949333353809,-75.11769857180225
421010083011003,42,101,008301,1003,39.96220360355579,-75.24536527691669
421010005004006,42,101,000500,4006,39.95349693876615,-75.15812445634418
421010171003029,42,101,017100,3029,40.003699664486774,-75.16617662523225
421010031001004,42,101,003100,1004,39.93419092308081,-75.17649433592295
421010083013007,42,101,008301,3007,39.955247886315846,-75.24711626046496
421010288002001,42,101,028800,2001,40.023286426758034,-75.12171545962171
421010338002024,42,101,033800,2024,40.05886257717677,-75.07867674182259
421010024004005,42,101,002400,4005,39.93654683947506,-75.15819967687321
421010024004005,42,101,002400,4005,39.93654683947506,-75.15819967687321
421010005004008,42,101,000500,4008,39.95213693128237,-75.15708024910589
421010338002013,42,101,033800,2013,40.06191713281685,-75.08387159273153
421010024004006,42,101,002400,4006,39.9357697123634,-75.15825789788583
421010109001011,42,101,010900,1011,39.96744111576402,-75.19416276590134
421010199003002,42,101,019900,3002,40.007704776561404,-75.14664424651868
421010027022022,42,101,002702,2022,39.92989436668005,-75.14681469402586
421010005003003,42,101,000500,3003,39.95121595468279,-75.15711804594409
421010107001005,42,101,010700,1005,39.96844689116794,-75.20826227892073
421010111004003,42,101,011100,4003,39.973185989457676,-75.2224703501065
421010070003006,42,101,007000,3006,39.932703411440016,-75.22463035700181
421010029002010,42,101,002900,2010,39.92919687534199,-75.16692214936182
421010321003008,42,101,032100,3008,40.01905287077734,-75.06211123499612
421010125025003,42,101,012502,5003,39.95993008502855,-75.17094839688737
421010006001000,42,101,000600,1000,39.95000145898537,-75.15880188413432
421010289022007,42,101,028902,2007,40.02147004975395,-75.11387028787406
421010289013007,42,101,028901,3007,40.017470186822884,-75.1168138768106
421010369026008,42,101,036902,6008,39.954706324183554,-75.18584087251799
421010291001007,42,101,029100,1007,40.03492287540677,-75.10260658767548
421010143001022,42,101,014300,1022,39.96634990818968,-75.13316891556019
421010379006019,42,101,037900,6019,39.98874824493893,-75.09697300355379
421010321001005,42,101,032100,1005,40.017219521977275,-75.0593870288436
421010002002006,42,101,000200,2006,39.95500927908643,-75.15416017704369
421010024004001,42,101,002400,4001,39.93740845605161,-75.15801503560958
421010100001003,42,101,010000,1003,39.96908449093911,-75.24874434720702
421010311011007,42,101,031101,1007,40.0435023136981,-75.07569082497632
421010326003004,42,101,032600,3004,40.0270208836479,-75.03447274802895
421010040014001,42,101,004001,4001,39.92628862292835,-75.16615050253853
