lat,lng,tract
40.02911329005772,-75.09983996116725,039002
39.94111900835085,-75.14594302033096,001600
39.96260693743898,-75.13564774222651,014202
39.93731456035286,-75.15801600654318,002400
39.93465634871953,-75.154656119144,002400
39.98267804289532,-75.10251161713768,018002
39.96696698585272,-75.17295220106219,013401
39.935358430149925,-75.15882568376094,002400
40.08456761680216,-75.0467466028188,034400
39.92614651778312,-75.22515360786228,006700
39.93893690498199,-75.15644672258972,001800
39.941590630747655,-75.15033808372905,001600
39.98894224390556,-75.1391042580114,016400
40.04251597740068,-75.12712810500648,027402
40.07520933473919,-75.20456972882094,038700
40.07700924275088,-75.20747609242555,038700
40.07692158824568,-75.2073936651134,038700
39.94820653412067,-75.172851007897,000803
39.9423141520476,-75.15356274946173,001001
39.94877943628584,-75.19384689692583,036901
40.03354402973928,-75.08504687862087,031102
40.02933702636111,-75.15002358023723,028100
40.07707627334285,-75.20886061109648,038500
39.950510760755,-75.16917925243959,000701
39.98104923575212,-75.18836579323515,013701
40.07919383672196,-75.17343758903466,025900
39.98308755982245,-75.12303617266083,016002
40.10266010095442,-75.03087650503414,035601
39.9512235694332,-75.15654589721719,000500
40.03691794895173,-75.17448182920899,024600
39.95921660204122,-75.14588157387979,036700
39.94260994340053,-75.15813166035736,001500
39.94145175699564,-75.15033301931471,001600
39.9662374363104,-75.13812577637663,014202
40.0259481681378,-75.22436066759954,021400
39.96013663190293,-75.24048295148111,008302
40.04189193402004,-75.01313617678629,034900
39.99290520611872,-75.13980481508356,017601
39.97868137018048,-75.12998468021993,016002
40.0138221741452,-75.08599789190653,029400
39.9687680754664,-75.1781571712808,013601
39.96950196784194,-75.13321477401503,015800
39.94798949976112,-75.16518508860518,000806
39.94102613745813,-75.1474022262969,001600
39.96425841560784,-75.16057784265426,013200
39.92022371779724,-75.17024591015056,004002
40.01078835358104,-75.18759118425562,020701
40.04400919864551,-75.10225847843961,030502
39.95702876287576,-75.20303013476125,008802
40.02106241424634,-75.0865814865946,030100
39.95261233189738,-75.16223991680323,000500
39.95584348812731,-75.17070344958451,000300
40.06212153146373,-75.1401917855337,026800
40.06620624171588,-75.15937143970378,026302
40.004458056875805,-75.17293727617462,017100
40.101499588438,-75.02870445820285,035601
40.03654480895148,-75.1301385000254,027401
39.99056954892543,-75.16419052898242,016800
39.96015311126884,-75.22427793160762,009300
40.03112506122472,-75.03640975300512,032600
39.99142742636084,-75.14856918231746,016500
40.00855645716333,-75.14734760422859,019900
39.98965767721664,-75.12126530219875,017800
39.94547387916892,-75.21783028773329,007800
39.96202273291237,-75.17223598788242,012502
39.94831973107984,-75.23526881761029,008101
39.96986653988032,-75.16029079991583,013300
40.11072560605202,-75.00142895166631,036000
40.036775116137264,-75.12988041413075,027401
40.05725723098631,-75.14894616386668,026700
40.0414612301205,-75.22628095347031,021500
40.02848484152064,-75.10990307098814,029100
39.95061821469499,-75.15573799868724,000500
40.00716630118362,-75.1366060939822,038301
40.01661448681951,-75.06186324286801,032100
40.02083972411737,-75.07467028099849,030000
39.94839952448445,-75.14314052260592,000101
39.94972017601653,-75.16900728595732,000805
40.0493577586093,-75.09550022204598,030600
40.04197568951778,-75.0275854567796,033102
