tr,population,TRACTCE10,SHAPE_AREA,density,density_rank,density_group
50.0,0.0,005000,88329434.9252,0.0,0.009114583333333334,low_density
54.0,1421.142857142857,005400,25752131.409,55.18544599559584,0.044270833333333336,low_density
55.0,6441.357142857143,005500,12703639.147,507.04818267592935,0.3515625,low_density
56.0,1132.7857142857142,005600,9047139.02507,125.20927457251597,0.0703125,low_density
60.0,6281.571428571428,006000,11755567.3676,534.348639427164,0.3854166666666667,low_density
61.0,3160.1428571428573,006100,5677914.17497,556.5675633269949,0.4140625,low_density
62.0,4767.214285714285,006200,5485256.2413,869.096004999843,0.7161458333333334,mid_density
63.0,4259.214285714285,006300,5981063.15391,712.1165879898642,0.5859375,mid_density
100.0,4857.571428571428,010000,5350496.87993,907.8729578915257,0.7421875,mid_density
101.0,6337.571428571428,010100,6473969.60034,978.9312925162008,0.7890625,mid_density
102.0,3058.214285714286,010200,3881678.52357,787.8587232673843,0.640625,mid_density
103.0,2597.3571428571427,010300,3027711.34922,857.8615473123864,0.703125,mid_density
104.0,3588.3571428571427,010400,5092391.52993,704.6506777349989,0.5755208333333334,mid_density
105.0,4108.428571428572,010500,7079505.84878,580.3270255277168,0.4270833333333333,low_density
106.0,1507.0714285714287,010600,2857396.3022,527.4282140741509,0.3723958333333333,low_density
107.0,3683.0714285714284,010700,4956471.5506,743.0833388170216,0.609375,mid_density
108.0,3898.3571428571427,010800,6304181.66337,618.3763969728648,0.4765625,low_density
109.0,2506.8571428571427,010900,2671107.24015,938.5086099037964,0.765625,mid_density
110.0,3562.0714285714284,011000,5089944.17161,699.8252453218381,0.5703125,mid_density
111.0,3506.785714285714,011100,14007749.4609,250.34611905890006,0.13802083333333334,low_density
112.0,5673.428571428572,011200,5416064.53652,1047.5186425813783,0.84375,mid_density
113.0,3121.5,011300,3604799.20939,865.928951567934,0.7109375,mid_density
114.0,7151.571428571428,011400,10472023.1766,682.9216578274765,0.5494791666666666,mid_density
157.0,2761.5714285714284,015700,5222616.0851,528.7716699012448,0.375,low_density
158.0,6195.285714285715,015800,6244885.59514,992.0575196937339,0.7994791666666666,mid_density
160.0,6850.0,016000,7759119.18829,882.8321660966318,0.7239583333333334,mid_density
161.0,5587.071428571428,016100,7616202.38163,733.5770701218811,0.5989583333333334,mid_density
162.0,2193.4285714285716,016200,3928529.94817,558.3331679704571,0.4192708333333333,low_density
163.0,3352.8571428571427,016300,6158876.4129,544.394288515752,0.390625,low_density
164.0,4507.0,016400,5220904.12035,863.2604422733315,0.7083333333333334,mid_density
165.0,2654.0,016500,4248720.98661,624.6585756899966,0.484375,low_density
166.0,1661.2857142857142,016600,2810591.69844,591.0804174109671,0.4453125,low_density
168.0,3690.4285714285716,016800,6256828.38623,589.8241638767735,0.4427083333333333,low_density
39.01,6534.714285714285,003901,4524884.08058,1444.1727499186377,0.9557291666666666,high_density
169.02,5070.071428571428,016902,6067542.84044,835.6053779759982,0.6848958333333334,mid_density
169.01,3349.785714285714,016901,5520774.86757,606.7600644183017,0.4557291666666667,low_density
207.0,5910.857142857143,020700,16312034.4678,362.36173694490356,0.22916666666666666,low_density
208.0,2203.3571428571427,020800,9490199.31204,232.1718512341246,0.1171875,low_density
209.0,2954.0,020900,5885364.97211,501.9229927113496,0.3463541666666667,low_density
210.0,5003.642857142857,021000,9761633.50342,512.5825360468434,0.3567708333333333,low_density
211.0,2432.714285714286,021100,5908815.89678,411.7092710639351,0.2864583333333333,low_density
212.0,2404.3571428571427,021200,5550945.77222,433.143691457026,0.3072916666666667,low_density
213.0,3419.6428571428573,021300,5799745.74655,589.6194430897327,0.4375,low_density
214.0,3778.5,021400,7085085.11964,533.3034023156505,0.3828125,low_density
215.0,3716.0714285714284,021500,11178933.1304,332.41735908285744,0.20572916666666666,low_density
216.0,2071.0,021600,22544671.3668,91.86206205027324,0.0546875,low_density
241.0,1262.357142857143,024100,4389871.45601,287.5613000305281,0.1640625,low_density
242.0,3760.1428571428573,024200,5726860.20782,656.5801714538799,0.5208333333333334,mid_density
243.0,4053.6428571428573,024300,7308687.70856,554.6334744054251,0.40625,low_density
244.0,3178.0714285714284,024400,4533507.21571,701.018279525051,0.5729166666666666,mid_density
245.0,3682.214285714286,024500,8633973.64087,426.4796765517168,0.3020833333333333,low_density
246.0,2841.785714285714,024600,6687252.64409,424.9556380671818,0.2994791666666667,low_density
247.0,4375.571428571428,024700,10135689.3937,431.69943933869314,0.3046875,low_density
248.0,2214.285714285714,024800,3436190.85072,644.4012601400603,0.5078125,mid_density
249.0,3040.214285714286,024900,3500340.89855,868.5480568403153,0.7135416666666666,mid_density
252.0,7593.142857142857,025200,10250904.3768,740.7290691665967,0.6041666666666666,mid_density
253.0,4153.071428571428,025300,6257232.17013,663.7234028804055,0.5260416666666666,mid_density
254.0,4249.928571428572,025400,8285427.65981,512.9401578199321,0.359375,low_density
255.0,2758.785714285714,025500,8251264.87097,334.347007086369,0.21354166666666666,low_density
256.0,2754.0,025600,9332669.30603,295.0924231527836,0.171875,low_density
283.0,6472.214285714285,028300,7244757.49342,893.3652080960098,0.7317708333333334,mid_density
284.0,4287.285714285715,028400,5147839.99967,832.8319673028977,0.6822916666666666,mid_density
285.0,2645.785714285714,028500,2974301.46228,889.5486042149686,0.7291666666666666,mid_density
286.0,7078.357142857143,028600,7734766.77493,915.1351745730177,0.7552083333333334,mid_density
287.0,2566.785714285714,028700,3632561.19689,706.604947628482,0.578125,mid_density
288.0,4559.285714285715,028800,4880696.18158,934.14659398237,0.7604166666666666,mid_density
